"feature","IncNodePurity","mean_shap","sd_shap","SHAP"
"fw.pat.L.stdev",0.601418110353953,0.00511737459669615,0.0108547502264654,"0.005 ± 0.011"
"fw.pat.E.mean",0.671269772130511,0.0046053992967044,0.0101017690722654,"0.005 ± 0.01"
"hw.pat.VH.mean",0.346835067066651,0.00421878095623101,0.0111878204309408,"0.004 ± 0.011"
"hw.pat.L.mean",0.599461046692735,0.00377916336706389,0.0157348331327226,"0.004 ± 0.016"
"PCo3",0.175176536070097,-0.00208097230769164,0.00537847383816631,"-0.002 ± 0.005"
"fw.pat.VH.mean",0.487803445057102,0.00185086866743033,0.0134661034221891,"0.002 ± 0.013"
"hw.shp.rough",0.185373758620487,0.00184372996082192,0.00474408399322426,"0.002 ± 0.005"
"fw.pat.L.mean",0.288748531711354,0.00137954862501501,0.00577128423981963,"0.001 ± 0.006"
"hw.pat.L.x",0.180172852323981,0.0012240956052533,0.0046245365934537,"0.001 ± 0.005"
"fw.pat.E.x",0.240644871739853,0.00119515361900036,0.00751085280506454,"0.001 ± 0.008"
"PCo1",0.195025606448634,0.000974835201240861,0.00308286401938094,"0.001 ± 0.003"
"hw.pat.P.mean",0.134312882410553,-0.000497259770156835,0.0038406108142825,"0 ± 0.004"
"fw.pat.L.x",0.239268049941473,-0.000262516913927556,0.00399015635637733,"0 ± 0.004"
"fw.col.by.mean",0.245056206621315,0.000248889255906078,0.00691562361540429,"0 ± 0.007"
"PCo2",0.134743864007151,-0.000101963384674844,0.0025553289249118,"0 ± 0.003"
