Butterfly,probability,centroid_x,centroid_y,major_axis,minor_axis,aspect_ratio,angle_deg,area,xmin,xmax,ymin,ymax,width,height
L.t,0.25,57.53671721,-57.01513946,76.89619395,66.39086248,1.158234598,37.8156518,7808.229412,4.896338882,114.7091142,-107.2512352,-4.901047016,109.8127753,102.3501882
L.t,0.5,66.31629206,-63.79229875,129.7461109,91.8686935,1.412299511,103.7117846,18723.12066,0.235009648,137.6715198,-150.0789875,26.52168084,137.4365102,176.6006683
L.t,0.75,85.54540347,-62.56926377,198.9935266,117.5189864,1.693288316,-83.19177652,37892.81487,0.235009648,190.3797583,-194.7688543,80.558123,190.1447486,275.3269773
G.c,0.25,53.2011088,-80.37123635,66.20867933,60.09910633,1.1016583,-39.41321655,6147.380936,8.636989235,101.7704826,-119.7490021,-36.04543341,93.13349337,83.7035687
G.c,0.5,59.62300791,-81.36392592,117.8258708,87.31416833,1.349447325,-83.72404384,15916.07191,0.190786615,131.9398273,-155.9360147,1.347646791,131.7490407,157.2836615
G.c,0.75,77.61090113,-85.19653935,178.7582589,113.4865001,1.575149984,-84.90178818,32354.14881,0.190786615,175.2146908,-199.3621369,34.35216853,175.0239042,233.7143054
P.s,0.25,44.28797704,-73.77620893,76.51081186,61.1282405,1.251644268,97.24123546,7190.752732,4.142596509,95.28924389,-127.8098479,-17.19286574,91.14664738,110.6169822
P.s,0.5,57.368546,-83.10934935,135.4072567,81.46202246,1.662213294,-83.00614951,17384.91946,0.205606934,123.7779498,-166.5503364,10.5925428,123.5723428,177.1428792
P.s,0.75,85.56445554,-86.74563167,186.2195542,125.7699168,1.480636696,-83.76599769,37424.08678,0.205606934,205.8831959,-205.5699791,45.90884161,205.677589,251.4788207
P.a,0.25,52.02183655,-81.99966654,75.19640527,60.31795916,1.246666935,113.6486555,6864.089171,11.80723711,109.1320292,-139.06564,-22.76588271,97.3247921,116.2997573
P.a,0.5,63.56877138,-84.04422248,116.5108306,91.33576529,1.275632062,105.8377174,16441.16896,0.523451458,141.8000404,-166.678667,3.805070914,141.276589,170.4837379
P.a,0.75,78.66436716,-85.47833154,181.9104711,113.4642636,1.603240221,96.13796799,32644.9966,0.50823378,179.407328,-200.7783496,40.27969725,178.8990942,241.0580468
B.c,0.25,43.50663261,-80.23303006,81.74400818,50.70318061,1.612206714,86.72906938,6451.125931,8.707163071,80.4581397,-135.6862736,-23.03742093,71.75097663,112.6488527
B.c,0.5,57.83867344,-80.07616665,114.2027019,87.08332862,1.311418657,-89.88193558,15307.30879,0.18372002,132.6501588,-157.6255717,1.00377436,132.4664388,158.6293461
B.c,0.75,73.44110141,-82.94782553,180.9666142,106.7761678,1.694822148,-88.09807742,31127.01595,0.18372002,170.1886142,-200.9544262,37.47308734,170.0048942,238.4275136
